date,cash,positions_value,total_value,daily_return,total_return,position_count
2023-01-04,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-05,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-06,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-10,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-11,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-12,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-13,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-16,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-17,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-18,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-19,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-20,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-23,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-24,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-25,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-26,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-27,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-30,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-01-31,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-01,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-02,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-03,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-06,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-07,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-08,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-09,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-10,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-13,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-14,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-15,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-16,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-17,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-20,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-21,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-22,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-24,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-27,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-02-28,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-01,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-02,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-03,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-06,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-07,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-08,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-09,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-10,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-13,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-14,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-15,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-16,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-17,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-20,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-22,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-23,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-24,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-27,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-28,10000000.0,0.0,10000000.0,0.0,0.0,0
2023-03-29,4286187.142108129,11410504.25415039,15696691.39625852,0.569669139625852,0.569669139625852,3
2023-03-30,9852992.206637269,5959497.509765625,15812489.716402894,0.007377243854840373,0.5812489716402894,1
2023-03-31,9852992.206637269,5938513.114929199,15791505.321566468,-0.0013270772163511907,0.5791505321566468,1
2023-04-03,9852992.206637269,5943010.510253906,15796002.716891175,0.0002847983921181305,0.5796002716891175,1
2023-04-04,15821513.624157673,0.0,15821513.624157673,0.0016150229728194448,0.5821513624157673,0
2023-04-05,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-06,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-07,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-10,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-11,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-12,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-13,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-14,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-17,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-18,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-19,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-20,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-21,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-24,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-25,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-26,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-27,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-04-28,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-05-01,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-05-02,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
2023-05-08,15821513.624157673,0.0,15821513.624157673,0.0,0.5821513624157673,0
