date,cash,positions_value,total_value,daily_return,total_return,position_count
2010-01-04,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-05,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-06,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-07,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-08,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-12,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-13,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-14,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-15,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-18,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-19,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-20,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-21,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-22,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-25,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-26,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-27,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-28,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-01-29,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-01,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-02,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-03,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-04,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-05,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-08,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-09,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-10,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-12,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-15,100000000.0,0.0,100000000.0,0.0,0.0,0
2010-02-16,98108230.05883789,3762527.24609375,101870757.30493164,0.018707573049316407,0.018707573049316407,2
2010-02-17,101885794.45014895,0.0,101885794.45014895,0.0001476100268137145,0.01885794450148955,0
2010-02-18,101885794.45014895,0.0,101885794.45014895,0.0,0.01885794450148955,0
2010-02-19,101885794.45014895,0.0,101885794.45014895,0.0,0.01885794450148955,0
2010-02-22,101885794.45014895,0.0,101885794.45014895,0.0,0.01885794450148955,0
2010-02-23,99506515.45014895,4731600.0,104238115.45014895,0.023087821150091264,0.04238115450148955,3
2010-02-24,97194520.63384037,6917200.048828125,104111720.68266849,-0.001212558064146028,0.041117206826684925,3
2010-02-25,97194520.63384037,6929400.0,104123920.63384037,0.00011718134223389057,0.041239206338403674,3
2010-02-26,99993409.43384036,4242000.0,104235409.43384036,0.0010707318675797447,0.04235409433840364,2
2010-03-01,99993409.43384036,4270000.048828125,104263409.48266849,0.00026862319609246616,0.04263409482668489,2
2010-03-02,101514522.41004403,2721000.0,104235522.41004403,-0.000267467491834664,0.04235522410044029,1
2010-03-03,101514522.41004403,2718000.0,104232522.41004403,-2.8780975339659476e-05,0.0423252241004403,1
2010-03-04,101514522.41004403,2694000.0,104208522.41004403,-0.00023025442966433782,0.04208522410044029,1
2010-03-05,101514522.41004403,2727000.0,104241522.41004403,0.000316672756093309,0.042415224100440296,1
2010-03-08,104303830.41004403,0.0,104303830.41004403,0.0005977272641405361,0.043038304100440294,0
2010-03-09,104303830.41004403,0.0,104303830.41004403,0.0,0.043038304100440294,0
2010-03-10,104303830.41004403,0.0,104303830.41004403,0.0,0.043038304100440294,0
2010-03-11,104303830.41004403,0.0,104303830.41004403,0.0,0.043038304100440294,0
2010-03-12,104303830.41004403,0.0,104303830.41004403,0.0,0.043038304100440294,0
2010-03-15,104303830.41004403,0.0,104303830.41004403,0.0,0.043038304100440294,0
2010-03-16,103364519.03748544,1868181.8359375,105232700.87342294,0.008905430028094729,0.05232700873422936,1
2010-03-17,105246746.94947782,0.0,105246746.94947782,0.00013347634279368186,0.052467469494778214,0
2010-03-18,105246746.94947782,0.0,105246746.94947782,0.0,0.052467469494778214,0
2010-03-19,105246746.94947782,0.0,105246746.94947782,0.0,0.052467469494778214,0
2010-03-23,105246746.94947782,0.0,105246746.94947782,0.0,0.052467469494778214,0
2010-03-24,105246746.94947782,0.0,105246746.94947782,0.0,0.052467469494778214,0
2010-03-25,105246746.94947782,0.0,105246746.94947782,0.0,0.052467469494778214,0
2010-03-26,95512602.61991782,19418450.0,114931052.61991782,0.09201524941278055,0.14931052619917826,10
2010-03-29,95711561.97494282,19187000.0,114898561.97494282,-0.0002826968363585306,0.14898561974942817,7
2010-03-30,115208552.88044281,0.0,115208552.88044281,0.002697952874010711,0.15208552880442813,0
2010-03-31,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-01,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-02,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-05,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-06,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-07,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-08,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-09,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-12,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-13,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-14,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-15,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-16,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-19,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-20,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-21,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-22,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-23,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-26,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-27,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-28,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-04-30,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-05-06,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-05-07,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-05-10,115208552.88044281,0.0,115208552.88044281,0.0,0.15208552880442813,0
2010-05-11,114365059.13044281,1677500.0,116042559.13044281,0.007239100128837539,0.16042559130442813,1
2010-05-12,113539111.63044281,2471250.0,116010361.63044281,-0.0002774628570868294,0.16010361630442813,1
2010-05-13,113539111.63044281,2497500.0,116036611.63044281,0.0002262728917578998,0.16036611630442812,1
2010-05-14,113539111.63044281,2482500.0,116021611.63044281,-0.00012926954509644327,0.16021611630442814,1
2010-05-17,113539111.63044281,2456250.0,115995361.63044281,-0.00022625095127632483,0.15995361630442814,1
2010-05-18,113539111.63044281,2422500.0,115961611.63044281,-0.0002909599101688766,0.15961611630442812,1
2010-05-19,113539111.63044281,2403750.0,115942861.63044281,-0.00016169144026519943,0.15942861630442812,1
2010-05-20,113539111.63044281,2400000.0,115939111.63044281,-3.234351772300376e-05,0.15939111630442812,1
2010-05-21,113539111.63044281,2317500.0,115856611.63044281,-0.0007115804049195206,0.15856611630442813,1
2010-05-24,113539111.63044281,2302500.0,115841611.63044281,-0.0001294703840282047,0.15841611630442812,1
2010-05-25,115782763.13044281,0.0,115782763.13044281,-0.0005080082983283944,0.15782763130442812,0
2010-05-26,114853593.13044281,1848000.0,116701593.13044281,0.00793580991813808,0.16701593130442813,1
2010-05-27,113939219.13044281,2736000.0,116675219.13044281,-0.00022599520102969416,0.16675219130442814,1
2010-05-28,113939219.13044281,2760000.0,116699219.13044281,0.00020569920655703262,0.16699219130442813,1
2010-05-31,116723736.7304428,0.0,116723736.7304428,0.00021009223697194594,0.16723736730442806,0
2010-06-01,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-02,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-03,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-04,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-07,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-08,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-09,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-10,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-11,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-14,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-15,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-16,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-17,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-18,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-21,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-22,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-23,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-24,116723736.7304428,0.0,116723736.7304428,0.0,0.16723736730442806,0
2010-06-25,107389817.15703566,18619599.8046875,126009416.96172316,0.07955262992243249,0.26009416961723164,10
2010-06-28,107687778.71182485,18120666.58935547,125808445.30118032,-0.0015948939800578016,0.25808445301180316,7
2010-06-29,107687778.71182485,17764666.705322266,125452445.41714711,-0.002829697824982686,0.2545244541714711,7
2010-06-30,107687778.71182485,17455466.705322266,125143245.41714711,-0.0024646789384763787,0.25143245417147114,7
2010-07-01,110264512.71182485,14548399.890136719,124812912.60196157,-0.0026396375935787,0.24812912601961568,6
2010-07-02,112792743.91182485,11916066.760253906,124708810.67207876,-0.0008340637816441234,0.2470881067207876,5
2010-07-05,112792743.91182485,11996866.815185547,124789610.7270104,0.0006479097547013257,0.247896107270104,5
2010-07-06,112792743.91182485,12176000.109863281,124968744.02168813,0.0014354824382744984,0.24968744021688133,5
2010-07-07,112792743.91182485,12046866.595458984,124839610.50728384,-0.0010333264962788292,0.24839610507283835,5
2010-07-08,112792743.91182485,12300733.294677734,125093477.20650259,0.002033542865018295,0.25093477206502585,5
2010-07-09,112792743.91182485,12206466.595458984,124999210.50728384,-0.0007535700607565319,0.24999210507283837,5
2010-07-12,112792743.91182485,12100066.705322266,124892810.61714712,-0.0008512044972517544,0.24892810617147118,5
2010-07-13,112792743.91182485,12065266.595458984,124858010.50728384,-0.0002786398167462121,0.24858010507283837,5
2010-07-14,114935347.91182485,10184600.109863281,125119948.02168813,0.002097883134130319,0.2511994802168813,4
2010-07-15,114935347.91182485,10055066.595458984,124990414.50728384,-0.0010352746820342644,0.24990414507283837,4
2010-07-16,114935347.91182485,9824466.595458984,124759814.50728384,-0.0018449414773847458,0.24759814507283837,4
2010-07-20,114935347.91182485,9824466.595458984,124759814.50728384,0.0,0.24759814507283837,4
2010-07-21,114935347.91182485,9825933.404541016,124761281.31636587,1.1757063665284734e-05,0.24761281316365868,4
2010-07-22,117308489.91182485,7399733.349609375,124708223.26143423,-0.00042527661123564146,0.24708223261434228,3
2010-07-23,117308489.91182485,7509733.5205078125,124818223.43233266,0.0008820602845719063,0.24818223432332664,3
2010-07-26,124799399.34552307,0.0,124799399.34552307,-0.00015081200718896232,0.24799399345523074,0
2010-07-27,123855757.34552307,1876800.0,125732557.34552307,0.007477263551697336,0.2573255734552307,1
2010-07-28,125741239.75952308,0.0,125741239.75952308,6.905462024561041e-05,0.25741239759523077,0
2010-07-29,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-07-30,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-02,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-03,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-04,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-05,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-06,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-09,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-10,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-11,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-12,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-13,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-16,125741239.75952308,0.0,125741239.75952308,0.0,0.25741239759523077,0
2010-08-17,123896238.8281266,3669454.58984375,127565693.41797034,0.014509588595885381,0.27565693417970344,2
2010-08-18,124775736.83312659,2784000.0,127559736.83312659,-4.669425363634371e-05,0.2755973683312659,1
2010-08-19,124775736.83312659,2847000.0,127622736.83312659,0.0004938862494081223,0.2762273683312659,1
2010-08-20,124775736.83312659,2766000.0,127541736.83312659,-0.0006346831451037737,0.2754173683312659,1
2010-08-23,124775736.83312659,2772000.0,127547736.83312659,4.70434239722664e-05,0.2754773683312659,1
2010-08-24,124775736.83312659,2766000.0,127541736.83312659,-4.7041210992633507e-05,0.2754173683312659,1
2010-08-25,124775736.83312659,2652000.0,127427736.83312659,-0.0008938250554730616,0.27427736833126587,1
2010-08-26,121978344.27996497,8278666.7724609375,130257011.0524259,0.022202970009617306,0.3025701105242591,4
2010-08-27,119221695.32277502,11056499.871826172,130278195.1946012,0.0001626334122372945,0.30278195194601193,4
2010-08-30,124613685.36541419,5733000.036621094,130346685.40203528,0.0005257227223003951,0.3034668540203528,2
2010-08-31,124613685.36541419,5593499.963378906,130207185.3287931,-0.0010702234031645678,0.30207185328793096,2
2010-09-01,124613685.36541419,5599499.945068359,130213185.31048255,4.608026564972011e-05,0.3021318531048255,2
2010-09-02,124613685.36541419,5506499.890136719,130120185.2555509,-0.000714213807994096,0.3012018525555091,2
2010-09-03,124613685.36541419,5587499.890136719,130201185.2555509,0.00062250141929109,0.30201185255550905,2
2010-09-06,124613685.36541419,5665499.908447266,130279185.27386145,0.0005990730280792238,0.30279185273861453,2
2010-09-07,124613685.36541419,5623500.0,130237185.36541419,-0.0003223838739778508,0.3023718536541419,2
2010-09-08,124613685.36541419,5546999.963378906,130160685.3287931,-0.0005873901252276994,0.3016068532879309,2
2010-09-09,124613685.36541419,5636999.963378906,130250685.3287931,0.0006914530280219025,0.3025068532879309,2
2010-09-10,124613685.36541419,5632499.890136719,130246185.2555509,-3.4549324871711195e-05,0.30246185255550906,2
2010-09-13,123761169.48308997,7344454.4921875,131105623.97527747,0.006598571144638837,0.3110562397527747,3
2010-09-14,125741636.9821134,5383636.248779297,131125273.2308927,0.00014987347620525895,0.311252732308927,2
2010-09-15,125741636.9821134,5383636.248779297,131125273.2308927,0.0,0.311252732308927,2
2010-09-16,128281354.14851965,2887500.0,131168854.14851965,0.00033236092900418556,0.3116885414851965,1
2010-09-17,131259284.20334142,0.0,131259284.20334142,0.000689417128851201,0.31259284203341425,0
2010-09-21,131259284.20334142,0.0,131259284.20334142,0.0,0.31259284203341425,0
2010-09-22,131259284.20334142,0.0,131259284.20334142,0.0,0.31259284203341425,0
2010-09-24,131259284.20334142,0.0,131259284.20334142,0.0,0.31259284203341425,0
