date,ticker,type,price,shares,amount,commission,reason
2010-02-16,8905,BUY,1494.7090686035156,600,897375.4411621094,550.0,Entry 3 days before record date
2010-02-16,8570,BUY,903.4949999999999,1100,994394.4999999999,550.0,Entry 3 days before record date
2010-02-17,8905,SELL,1498.831829223633,1200,1797608.9660610717,989.2290072875977,Window filled (reached pre-ex price 1495)
2010-02-17,8570,SELL,900.475,2200,1979955.42525,1089.57475,Window filled (reached pre-ex price 903)
2010-02-23,3382,BUY,670.3349999999999,1400,939018.9999999999,550.0,Entry 3 days before record date
2010-02-23,8267,BUY,928.6199999999999,1000,929169.9999999999,550.0,Entry 3 days before record date
2010-02-23,9983,BUY,5105.4,100,511089.99999999994,550.0,Entry 3 days before record date
2010-02-24,3382,BUY,647.292,1400,906758.8,550.0,Add position on ex-dividend drop (3.1%)
2010-02-24,8267,BUY,898.794,1000,899344.0,550.0,Add position on ex-dividend drop (2.9%)
2010-02-24,9983,BUY,5053.420163085938,100,505892.0163085938,550.0,Add position on ex-dividend drop (0.7%)
2010-02-26,3382,SELL,666.664,4200,2798888.8,1100.0,Window filled (reached pre-ex price 667)
2010-03-02,9983,SELL,5073.166829101562,300,1521112.9762036668,837.0725268017578,Window filled (reached pre-ex price 5080)
2010-03-08,8267,SELL,930.136,3000,2789308.0,1100.0,Window filled (reached pre-ex price 924)
2010-03-16,6861,BUY,4693.806862792968,200,939311.3725585935,550.0,Entry 3 days before record date
2010-03-17,6861,SELL,4708.159267578125,400,1882227.9119923827,1035.7950388671875,Window filled (reached pre-ex price 4694)
2010-03-26,6758,BUY,710.418,1400,995135.2,550.0,Entry 3 days before record date
2010-03-26,6971,BUY,1137.27,800,910366.0,550.0,Entry 3 days before record date
2010-03-26,6954,BUY,1983.96,500,992530.0,550.0,Entry 3 days before record date
2010-03-26,6857,BUY,583.4145,1700,992354.6499999999,550.0,Entry 3 days before record date
2010-03-26,6841,BUY,795.588,1200,955255.6,550.0,Entry 3 days before record date
2010-03-26,6724,BUY,731.961,1300,952099.3,550.0,Entry 3 days before record date
2010-03-26,6701,BUY,553.104,1800,996137.2000000001,550.0,Entry 3 days before record date
2010-03-26,6503,BUY,834.666,1200,1002150.0795600001,550.8795600000001,Entry 3 days before record date
2010-03-26,6479,BUY,573.144,1700,974894.8,550.0,Entry 3 days before record date
2010-03-26,6902,BUY,687.6225,1400,963221.4999999999,550.0,Entry 3 days before record date
