date,ticker,type,price,shares,amount,commission,reason
2019-03-26,7203,BUY,1134.9182098388671,800,908484.5678710938,550.0,Entry 3 days before record date
2019-03-26,6758,BUY,926.645577392578,1000,927195.577392578,550.0,Entry 3 days before record date
2019-03-26,9432,BUY,78.353709526062,12800,1003479.0920486571,551.6101150634765,Entry 3 days before record date
2019-03-26,8306,BUY,432.150092010498,2300,994495.2116241454,550.0,Entry 3 days before record date
2019-03-26,4063,BUY,1652.48756652832,600,992042.5399169921,550.0,Entry 3 days before record date
2019-03-26,9984,BUY,5095.878017578125,100,510137.8017578125,550.0,Entry 3 days before record date
2019-03-26,6098,BUY,3015.2765222167964,300,905132.956665039,550.0,Entry 3 days before record date
2019-03-26,7974,BUY,2652.5571533203124,300,796317.1459960938,550.0,Entry 3 days before record date
2019-03-27,6758,SELL,925.1900979614257,2000,1849362.486815094,1017.7091077575684,Window filled (reached pre-ex price 927)
2019-03-27,8306,SELL,430.5776870727539,4600,1979567.998986374,1089.3615482940675,Window filled (reached pre-ex price 432)
2019-03-27,4063,SELL,1656.1857592773438,1200,1986329.8285316895,1093.082601123047,Window filled (reached pre-ex price 1652)
2019-03-27,6098,SELL,3013.7694921875,600,1807267.1513800782,994.5439324218751,Window filled (reached pre-ex price 3015)
2019-03-28,7974,SELL,2643.771600341797,600,1585390.5155769654,872.444628112793,Window filled (reached pre-ex price 2639)
2019-03-29,9984,SELL,5132.99663671875,200,1026034.6977137108,564.6296300390625,Window filled (reached pre-ex price 5071)
2019-04-01,7203,SELL,1129.7377055664062,1600,1806586.1597253515,994.1691808984375,Window filled (reached pre-ex price 1129)
2019-04-23,9432,SELL,74.78961228942872,25600,1913561.0368683399,1053.0377410351564,Max holding period reached (20 days)
2019-09-26,7203,BUY,1273.2894854736326,700,891852.6398315429,550.0,Entry 3 days before record date
2019-09-26,9432,BUY,88.50731334686279,11300,1000682.7137720002,550.0729524507523,Entry 3 days before record date
2019-09-26,8306,BUY,446.3975802612304,2200,982624.6765747069,550.0,Entry 3 days before record date
2019-09-26,9433,BUY,1214.2472076416013,800,971947.766113281,550.0,Entry 3 days before record date
2019-09-26,4063,BUY,2127.9442089843747,400,851727.6835937499,550.0,Entry 3 days before record date
2019-09-26,9984,BUY,4272.783508300781,200,855106.7016601562,550.0,Entry 3 days before record date
2019-09-26,6098,BUY,3192.359190673828,300,958257.7572021483,550.0,Entry 3 days before record date
2019-09-26,7974,BUY,3443.5809741210933,200,689266.1948242186,550.0,Entry 3 days before record date
2019-09-27,7203,SELL,1268.0190362548828,1400,1774250.2760989196,976.3746579162598,Window filled (reached pre-ex price 1273)
2019-09-27,9432,BUY,87.24262605285645,11400,995115.9370025635,550.0,Add position on ex-dividend drop (1.1%)
2019-09-27,8306,BUY,444.6638281860352,2200,978810.4220092774,550.0,Add position on ex-dividend drop (0.1%)
2019-09-27,4063,SELL,2119.3645751953127,800,1694559.1397431642,932.5204130859377,Window filled (reached pre-ex price 2128)
2019-09-27,9984,BUY,4197.3677255859375,200,840023.5451171875,550.0,Add position on ex-dividend drop (1.5%)
2019-09-27,6098,BUY,3167.193814453125,300,950708.1443359375,550.0,Add position on ex-dividend drop (0.5%)
2019-09-27,7974,BUY,3432.451787109375,200,687040.357421875,550.0,Add position on ex-dividend drop (0.0%)
2019-09-30,6098,SELL,3198.350489746094,900,2877415.4407714843,1100.0,Window filled (reached pre-ex price 3176)
2019-10-01,7974,SELL,3464.4687978515626,600,2077581.2787109376,1100.0,Window filled (reached pre-ex price 3426)
2019-10-02,9433,SELL,1237.7437946777343,1600,1979300.8569450583,1089.2145393164062,Window filled (reached pre-ex price 1208)
2019-10-08,9432,SELL,89.98350595092774,34000,3058339.202331543,1100.0,Window filled (reached pre-ex price 88)
2019-10-21,8306,SELL,443.847860534668,6600,2928295.8795288084,1100.0,Window filled (reached pre-ex price 444)
2019-10-28,9984,SELL,3836.867770996094,600,2301020.6625976562,1100.0,Max holding period reached (20 days)
2020-03-27,7203,BUY,1218.0227358398438,800,974968.188671875,550.0,Entry 3 days before record date
2020-03-27,6758,BUY,1307.4282407226563,700,915749.7685058594,550.0,Entry 3 days before record date
2020-03-27,9432,BUY,90.04399397277832,11100,1000038.3330978394,550.0,Entry 3 days before record date
2020-03-27,8306,BUY,361.12385174560546,2700,975584.3997131347,550.0,Entry 3 days before record date
